2026-09-13 00:33:24,710 | INFO | src.trainer.trainer | Epoch 20/60 learning rate set to 7.88689e-05
2026-09-13 00:40:53,529 | INFO | src.trainer.trainer | Epoch 20/60 train_loss=0.473660
2026-09-13 00:41:11,441 | INFO | src.trainer.history | Epoch 20 metrics saved at 2026-09-13 00:41:11: {'train_loss': 0.47365997850762176, 'lr': 7.886894086538841e-05, 'val_loss': 1.914377552103578, 'val_accuracy': 0.4310964912280702, 'val_precision': 0.36937092658607046, 'val_recall': 0.37759019607843136, 'val_f1': 0.3470649902332673, 'val_image_accuracy': 0.5, 'val_image_precision': 0.4264864864864865, 'val_image_recall': 0.4326143790849673, 'val_image_f1': 0.38874408242829295}
2026-09-13 00:41:11,441 | INFO | src.trainer.trainer | Epoch 20/60 val_f1=0.3470649902332673 val_image_f1=0.38874408242829295
2026-09-13 00:41:11,441 | INFO | src.trainer.trainer | Epoch 21/60 learning rate set to 7.68048e-05
2026-09-13 00:48:44,025 | INFO | src.trainer.trainer | Epoch 21/60 train_loss=0.469670
2026-09-13 00:49:01,908 | INFO | src.trainer.history | Epoch 21 metrics saved at 2026-09-13 00:49:01: {'train_loss': 0.4696698889541201, 'lr': 7.680478916496926e-05, 'val_loss': 1.8523756941577845, 'val_accuracy': 0.44228070175438594, 'val_precision': 0.367482834480437, 'val_recall': 0.380878431372549, 'val_f1': 0.34993495574087163, 'val_image_accuracy': 0.4868421052631579, 'val_image_precision': 0.4003809523809524, 'val_image_recall': 0.41954248366013075, 'val_image_f1': 0.3779940256931845}
2026-09-13 00:49:01,908 | INFO | src.trainer.trainer | Epoch 21/60 val_f1=0.34993495574087163 val_image_f1=0.3779940256931845
2026-09-13 00:49:01,908 | INFO | src.trainer.trainer | Epoch 22/60 learning rate set to 7.46788e-05
2026-09-13 00:56:33,099 | INFO | src.trainer.trainer | Epoch 22/60 train_loss=0.468280
2026-09-13 00:56:51,019 | INFO | src.trainer.history | Epoch 22 metrics saved at 2026-09-13 00:56:51: {'train_loss': 0.4682803880442667, 'lr': 7.46788294206485e-05, 'val_loss': 1.9452220306061863, 'val_accuracy': 0.4189912280701754, 'val_precision': 0.3405878949882223, 'val_recall': 0.36243834422657956, 'val_f1': 0.33234166749639993, 'val_image_accuracy': 0.47368421052631576, 'val_image_precision': 0.38267973856209153, 'val_image_recall': 0.41084967320261434, 'val_image_f1': 0.3667313079077785}
2026-09-13 00:56:51,020 | INFO | src.trainer.trainer | Epoch 22/60 val_f1=0.33234166749639993 val_image_f1=0.3667313079077785
2026-09-13 00:56:51,020 | INFO | src.trainer.trainer | Early stopping at epoch 22 (val_f1 did not improve for 20 evals)
2026-09-13 00:56:51,068 | INFO | src.trainer.trainer | Saved final model to logs/sweeps2/ds1_regularize_20260912_220421/geom_ref/model_final.pt
2026-09-13 00:56:51,069 | INFO | src.trainer.trainer | Best model is from epoch 2 (val_f1=0.3798)
2026-09-13 00:57:21,373 | INFO | src.trainer.trainer | Held-out test of best epoch 2: {'test_loss': 1.1569694515685394, 'test_accuracy': 0.5617571059431524, 'test_precision': 0.5613832846085102, 'test_recall': 0.5664109843574454, 'test_f1': 0.5569187744996806, 'test_image_accuracy': 0.627906976744186, 'test_image_precision': 0.6363088524378847, 'test_image_recall': 0.6385138708841068, 'test_image_f1': 0.6273920640698945}
2026-09-13 00:57:21,376 | INFO | src.trainer.trainer | Run summary: {'selection_metric': 'val_f1', 'best_epoch': 2, 'best_score': 0.3797757382258264, 'stopped_epoch': 22, 'eval_test': 'end', 'best_val': {'val_loss': 1.6139762193487401, 'val_accuracy': 0.4376315789473684, 'val_precision': 0.39007343838487846, 'val_recall': 0.3931115468409586, 'val_f1': 0.3797757382258264, 'val_image_accuracy': 0.5, 'val_image_precision': 0.4071577847439916, 'val_image_recall': 0.4290849673202614, 'val_image_f1': 0.3983132045088567}, 'best_test': {'test_loss': 1.1569694515685394, 'test_accuracy': 0.5617571059431524, 'test_precision': 0.5613832846085102, 'test_recall': 0.5664109843574454, 'test_f1': 0.5569187744996806, 'test_image_accuracy': 0.627906976744186, 'test_image_precision': 0.6363088524378847, 'test_image_recall': 0.6385138708841068, 'test_image_f1': 0.6273920640698945}, 'selected_weights': 'best', 'selected_test': {'test_loss': 1.1569694515685394, 'test_accuracy': 0.5617571059431524, 'test_precision': 0.5613832846085102, 'test_recall': 0.5664109843574454, 'test_f1': 0.5569187744996806, 'test_image_accuracy': 0.627906976744186, 'test_image_precision': 0.6363088524378847, 'test_image_recall': 0.6385138708841068, 'test_image_f1': 0.6273920640698945}, 'test_image_f1': 0.6273920640698945, 'test_f1': 0.5569187744996806, 'val_image_f1': 0.3983132045088567, 'val_f1': 0.3797757382258264, 'swa_val_score': None}
2026-09-13 00:57:21,376 | INFO | __main__ | Experiment finished at 2026-09-13 00:57:21
2026-09-13 00:57:21,443 | INFO | __main__ | Starting sweep run geom_frac025
