2026-09-12 04:20:42,522 | INFO | src.trainer.history | Epoch 20 metrics saved at 2026-09-12 04:20:42: {'train_loss': 0.6400877748975472, 'lr': 7.886894086538841e-05, 'val_loss': 1.9419092779769036, 'val_accuracy': 0.3530075187969925, 'val_precision': 0.30757530964106483, 'val_recall': 0.30612978524743234, 'val_f1': 0.2921813498739821, 'val_image_accuracy': 0.39473684210526316, 'val_image_precision': 0.3217261904761905, 'val_image_recall': 0.3428758169934641, 'val_image_f1': 0.3099807537453376}
2026-09-12 04:20:42,522 | INFO | src.trainer.trainer | Epoch 20/60 val_f1=0.2921813498739821 val_image_f1=0.3099807537453376
2026-09-12 04:20:42,522 | INFO | src.trainer.trainer | Epoch 21/60 learning rate set to 7.68048e-05
2026-09-12 04:22:06,829 | INFO | src.trainer.trainer | Epoch 21/60 train_loss=0.629252
2026-09-12 04:22:11,331 | INFO | src.trainer.history | Epoch 21 metrics saved at 2026-09-12 04:22:11: {'train_loss': 0.6292520447062566, 'lr': 7.680478916496926e-05, 'val_loss': 1.9845578184701447, 'val_accuracy': 0.35093984962406016, 'val_precision': 0.3091036324411795, 'val_recall': 0.3008944911297852, 'val_f1': 0.29447790077977787, 'val_image_accuracy': 0.3684210526315789, 'val_image_precision': 0.3490384615384615, 'val_image_recall': 0.31339869281045757, 'val_image_f1': 0.3181818181818182}
2026-09-12 04:22:11,331 | INFO | src.trainer.trainer | Epoch 21/60 val_f1=0.29447790077977787 val_image_f1=0.3181818181818182
2026-09-12 04:22:11,331 | INFO | src.trainer.trainer | Epoch 22/60 learning rate set to 7.46788e-05
2026-09-12 04:23:34,210 | INFO | src.trainer.trainer | Epoch 22/60 train_loss=0.617114
2026-09-12 04:23:38,698 | INFO | src.trainer.history | Epoch 22 metrics saved at 2026-09-12 04:23:38: {'train_loss': 0.6171142214997498, 'lr': 7.46788294206485e-05, 'val_loss': 1.9271360545230092, 'val_accuracy': 0.3535714285714286, 'val_precision': 0.29821474306022655, 'val_recall': 0.3038403361344538, 'val_f1': 0.2956809384658921, 'val_image_accuracy': 0.42105263157894735, 'val_image_precision': 0.3566666666666667, 'val_image_recall': 0.3622222222222222, 'val_image_f1': 0.3513501495674671}
2026-09-12 04:23:38,698 | INFO | src.trainer.trainer | Epoch 22/60 val_f1=0.2956809384658921 val_image_f1=0.3513501495674671
2026-09-12 04:23:38,699 | INFO | src.trainer.trainer | Epoch 23/60 learning rate set to 7.24971e-05
2026-09-12 04:25:02,285 | INFO | src.trainer.trainer | Epoch 23/60 train_loss=0.609518
2026-09-12 04:25:06,844 | INFO | src.trainer.trainer | Epoch 23: new best val_f1 0.3384, saved logs/sweeps/quality_search_20260911_223833/ds2_photo/ds2_photo/model_best.pt
2026-09-12 04:25:06,847 | INFO | src.trainer.history | Epoch 23 metrics saved at 2026-09-12 04:25:06: {'train_loss': 0.6095182003354405, 'lr': 7.249708789629944e-05, 'val_loss': 1.8119917258284146, 'val_accuracy': 0.3983082706766917, 'val_precision': 0.3483758706433575, 'val_recall': 0.340952380952381, 'val_f1': 0.3383595764258192, 'val_image_accuracy': 0.47368421052631576, 'val_image_precision': 0.41818181818181815, 'val_image_recall': 0.4068627450980392, 'val_image_f1': 0.40006617038875103}
2026-09-12 04:25:06,847 | INFO | src.trainer.trainer | Epoch 23/60 val_f1=0.3383595764258192 val_image_f1=0.40006617038875103
2026-09-12 04:25:06,847 | INFO | src.trainer.trainer | Epoch 24/60 learning rate set to 7.02657e-05
2026-09-12 04:26:30,292 | INFO | src.trainer.trainer | Epoch 24/60 train_loss=0.599403
2026-09-12 04:26:34,744 | INFO | src.trainer.history | Epoch 24 metrics saved at 2026-09-12 04:26:34: {'train_loss': 0.5994027034363244, 'lr': 7.026574897531136e-05, 'val_loss': 1.9385881938432392, 'val_accuracy': 0.34981203007518796, 'val_precision': 0.32071898662539444, 'val_recall': 0.30012978524743233, 'val_f1': 0.2988548717652665, 'val_image_accuracy': 0.40789473684210525, 'val_image_precision': 0.3805050505050505, 'val_image_recall': 0.35091503267973856, 'val_image_f1': 0.34504723346828614}
2026-09-12 04:26:34,744 | INFO | src.trainer.trainer | Epoch 24/60 val_f1=0.2988548717652665 val_image_f1=0.34504723346828614
2026-09-12 04:26:34,744 | INFO | src.trainer.trainer | Epoch 25/60 learning rate set to 6.79911e-05
2026-09-12 04:27:58,745 | INFO | src.trainer.trainer | Epoch 25/60 train_loss=0.589365
2026-09-12 04:28:03,236 | INFO | src.trainer.history | Epoch 25 metrics saved at 2026-09-12 04:28:03: {'train_loss': 0.5893654219481431, 'lr': 6.799113763028295e-05, 'val_loss': 2.095877656183745, 'val_accuracy': 0.33289473684210524, 'val_precision': 0.28944326350119687, 'val_recall': 0.28764612511671334, 'val_f1': 0.2818393221943916, 'val_image_accuracy': 0.39473684210526316, 'val_image_precision': 0.34904040404040404, 'val_image_recall': 0.3404575163398692, 'val_image_f1': 0.33306273306273304}
