2026-09-13 09:38:53,770 | INFO | src.trainer.trainer | Epoch 24/60 val_f1=0.35711644928669506 val_image_f1=0.39990708478513354
2026-09-13 09:38:53,770 | INFO | src.trainer.trainer | Epoch 25/60 learning rate set to 6.79911e-05
2026-09-13 09:40:52,622 | INFO | src.trainer.trainer | Epoch 25/60 train_loss=0.645914
2026-09-13 09:41:10,553 | INFO | src.trainer.history | Epoch 25 metrics saved at 2026-09-13 09:41:10: {'train_loss': 0.6459143720986494, 'lr': 6.799113763028295e-05, 'val_loss': 1.803512484399896, 'val_accuracy': 0.41973684210526313, 'val_precision': 0.3552417843233204, 'val_recall': 0.36227952069716773, 'val_f1': 0.33774791051161984, 'val_image_accuracy': 0.4868421052631579, 'val_image_precision': 0.4187165775401069, 'val_image_recall': 0.4201960784313726, 'val_image_f1': 0.3826610644257703}
2026-09-13 09:41:10,554 | INFO | src.trainer.trainer | Epoch 25/60 val_f1=0.33774791051161984 val_image_f1=0.3826610644257703
2026-09-13 09:41:10,554 | INFO | src.trainer.trainer | Epoch 26/60 learning rate set to 6.56797e-05
2026-09-13 09:43:09,263 | INFO | src.trainer.trainer | Epoch 26/60 train_loss=0.642418
2026-09-13 09:43:27,320 | INFO | src.trainer.trainer | Epoch 26: new best val_f1 0.3871, saved logs/sweeps2/ds1_regularize_20260912_220421/geom_frac025_reg_cw/model_best.pt
2026-09-13 09:43:27,325 | INFO | src.trainer.history | Epoch 26 metrics saved at 2026-09-13 09:43:27: {'train_loss': 0.6424180349068193, 'lr': 6.567970149420018e-05, 'val_loss': 1.6271086264179464, 'val_accuracy': 0.4732456140350877, 'val_precision': 0.40819305674937184, 'val_recall': 0.4098884531590413, 'val_f1': 0.38709464886197376, 'val_image_accuracy': 0.5, 'val_image_precision': 0.4160924369747899, 'val_image_recall': 0.4319607843137255, 'val_image_f1': 0.39149321266968323}
2026-09-13 09:43:27,326 | INFO | src.trainer.trainer | Epoch 26/60 val_f1=0.38709464886197376 val_image_f1=0.39149321266968323
2026-09-13 09:43:27,326 | INFO | src.trainer.trainer | Epoch 27/60 learning rate set to 6.3338e-05
2026-09-13 09:45:25,127 | INFO | src.trainer.trainer | Epoch 27/60 train_loss=0.630019
2026-09-13 09:45:43,033 | INFO | src.trainer.history | Epoch 27 metrics saved at 2026-09-13 09:45:43: {'train_loss': 0.6300192477956204, 'lr': 6.333799258392015e-05, 'val_loss': 1.7431681598696793, 'val_accuracy': 0.46324561403508774, 'val_precision': 0.38842633887087874, 'val_recall': 0.3999742919389978, 'val_f1': 0.3635434329840587, 'val_image_accuracy': 0.5394736842105263, 'val_image_precision': 0.45511764705882357, 'val_image_recall': 0.4659477124183007, 'val_image_f1': 0.40978357711599844}
2026-09-13 09:45:43,033 | INFO | src.trainer.trainer | Epoch 27/60 val_f1=0.3635434329840587 val_image_f1=0.40978357711599844
2026-09-13 09:45:43,033 | INFO | src.trainer.trainer | Epoch 28/60 learning rate set to 6.09726e-05
2026-09-13 09:47:39,309 | INFO | src.trainer.trainer | Epoch 28/60 train_loss=0.620802
2026-09-13 09:47:57,208 | INFO | src.trainer.history | Epoch 28 metrics saved at 2026-09-13 09:47:57: {'train_loss': 0.6208016350327727, 'lr': 6.0972648727767494e-05, 'val_loss': 1.7985757354372427, 'val_accuracy': 0.40337719298245617, 'val_precision': 0.34893821898929633, 'val_recall': 0.3475302832244009, 'val_f1': 0.33553837466943925, 'val_image_accuracy': 0.42105263157894735, 'val_image_precision': 0.361060606060606, 'val_image_recall': 0.3615686274509804, 'val_image_f1': 0.3421646794918684}
2026-09-13 09:47:57,208 | INFO | src.trainer.trainer | Epoch 28/60 val_f1=0.33553837466943925 val_image_f1=0.3421646794918684
2026-09-13 09:47:57,208 | INFO | src.trainer.trainer | Epoch 29/60 learning rate set to 5.85904e-05
2026-09-13 09:49:56,821 | INFO | src.trainer.trainer | Epoch 29/60 train_loss=0.610612
