2026-09-13 06:37:56,372 | INFO | src.trainer.history | Epoch 24 metrics saved at 2026-09-13 06:37:56: {'train_loss': 0.635652227019414, 'lr': 7.026574897531136e-05, 'val_loss': 1.7351616411041795, 'val_accuracy': 0.44083333333333335, 'val_precision': 0.39232661989119066, 'val_recall': 0.3897453159041394, 'val_f1': 0.37168110201852167, 'val_image_accuracy': 0.5131578947368421, 'val_image_precision': 0.43802197802197806, 'val_image_recall': 0.4377777777777777, 'val_image_f1': 0.4081526860435279}
2026-09-13 06:37:56,372 | INFO | src.trainer.trainer | Epoch 24/60 val_f1=0.37168110201852167 val_image_f1=0.4081526860435279
2026-09-13 06:37:56,372 | INFO | src.trainer.trainer | Epoch 25/60 learning rate set to 6.79911e-05
2026-09-13 06:39:55,075 | INFO | src.trainer.trainer | Epoch 25/60 train_loss=0.629247
2026-09-13 06:40:13,068 | INFO | src.trainer.history | Epoch 25 metrics saved at 2026-09-13 06:40:13: {'train_loss': 0.6292468243027582, 'lr': 6.799113763028295e-05, 'val_loss': 1.6866704794398526, 'val_accuracy': 0.4423684210526316, 'val_precision': 0.3588516554662504, 'val_recall': 0.3800167755991285, 'val_f1': 0.35574836316239977, 'val_image_accuracy': 0.47368421052631576, 'val_image_precision': 0.3866666666666666, 'val_image_recall': 0.4086274509803921, 'val_image_f1': 0.3800679002470716}
2026-09-13 06:40:13,069 | INFO | src.trainer.trainer | Epoch 25/60 val_f1=0.35574836316239977 val_image_f1=0.3800679002470716
2026-09-13 06:40:13,069 | INFO | src.trainer.trainer | Epoch 26/60 learning rate set to 6.56797e-05
2026-09-13 06:42:12,222 | INFO | src.trainer.trainer | Epoch 26/60 train_loss=0.624319
2026-09-13 06:42:30,300 | INFO | src.trainer.trainer | Epoch 26: new best val_f1 0.3919, saved logs/sweeps2/ds1_regularize_20260912_220421/geom_frac025_reg/model_best.pt
2026-09-13 06:42:30,303 | INFO | src.trainer.history | Epoch 26 metrics saved at 2026-09-13 06:42:30: {'train_loss': 0.6243187370031253, 'lr': 6.567970149420018e-05, 'val_loss': 1.6103826276774993, 'val_accuracy': 0.47368421052631576, 'val_precision': 0.4148502751147756, 'val_recall': 0.4097721132897604, 'val_f1': 0.39190440101808244, 'val_image_accuracy': 0.5, 'val_image_precision': 0.4287698412698413, 'val_image_recall': 0.4295424836601307, 'val_image_f1': 0.3975606921813818}
2026-09-13 06:42:30,303 | INFO | src.trainer.trainer | Epoch 26/60 val_f1=0.39190440101808244 val_image_f1=0.3975606921813818
2026-09-13 06:42:30,303 | INFO | src.trainer.trainer | Epoch 27/60 learning rate set to 6.3338e-05
2026-09-13 06:44:27,782 | INFO | src.trainer.trainer | Epoch 27/60 train_loss=0.615109
2026-09-13 06:44:45,774 | INFO | src.trainer.history | Epoch 27 metrics saved at 2026-09-13 06:44:45: {'train_loss': 0.6151092083346162, 'lr': 6.333799258392015e-05, 'val_loss': 1.734844893373941, 'val_accuracy': 0.46109649122807017, 'val_precision': 0.39061713050613056, 'val_recall': 0.3969381263616557, 'val_f1': 0.36736698391250255, 'val_image_accuracy': 0.4868421052631579, 'val_image_precision': 0.4016304347826087, 'val_image_recall': 0.41954248366013075, 'val_image_f1': 0.37724041811846687}
2026-09-13 06:44:45,774 | INFO | src.trainer.trainer | Epoch 27/60 val_f1=0.36736698391250255 val_image_f1=0.37724041811846687
2026-09-13 06:44:45,774 | INFO | src.trainer.trainer | Epoch 28/60 learning rate set to 6.09726e-05
2026-09-13 06:46:42,632 | INFO | src.trainer.trainer | Epoch 28/60 train_loss=0.605166
2026-09-13 06:47:00,595 | INFO | src.trainer.history | Epoch 28 metrics saved at 2026-09-13 06:47:00: {'train_loss': 0.6051661333156322, 'lr': 6.0972648727767494e-05, 'val_loss': 1.8154265045596842, 'val_accuracy': 0.39859649122807017, 'val_precision': 0.3441300527732416, 'val_recall': 0.3407104575163399, 'val_f1': 0.33025965770081467, 'val_image_accuracy': 0.4342105263157895, 'val_image_precision': 0.37710437710437705, 'val_image_recall': 0.3713725490196078, 'val_image_f1': 0.3532243618450515}
2026-09-13 06:47:00,595 | INFO | src.trainer.trainer | Epoch 28/60 val_f1=0.33025965770081467 val_image_f1=0.3532243618450515
2026-09-13 06:47:00,595 | INFO | src.trainer.trainer | Epoch 29/60 learning rate set to 5.85904e-05
2026-09-13 06:49:01,576 | INFO | src.trainer.trainer | Epoch 29/60 train_loss=0.596870
2026-09-13 06:49:19,560 | INFO | src.trainer.history | Epoch 29 metrics saved at 2026-09-13 06:49:19: {'train_loss': 0.5968698497303522, 'lr': 5.859037474988874e-05, 'val_loss': 1.8319923526571509, 'val_accuracy': 0.42219298245614034, 'val_precision': 0.35871834915323636, 'val_recall': 0.36329651416122, 'val_f1': 0.340300507611888, 'val_image_accuracy': 0.4868421052631579, 'val_image_precision': 0.42503840245775726, 'val_image_recall': 0.4177777777777778, 'val_image_f1': 0.3857142857142857}
